name,timeout,real,cpu,ram,programs,ground_truth,gt_status,status,memout
tests-examples/textbook/1,False,6.9374,6.65923,196808,1,True,1,0,False
tests-examples/textbook/10,False,3.31837,5.54139,197632,1,True,1,0,False
tests-examples/textbook/11,False,3.05182,5.27373,195712,1,True,1,0,False
tests-examples/textbook/13,False,3.09977,5.31055,196172,1,False,0,0,False
tests-examples/textbook/14,False,3.28126,5.5162,197012,1,True,1,0,False
tests-examples/textbook/15,False,3.35652,5.58906,197664,1,True,1,0,False
tests-examples/textbook/16,False,3.3129,5.5067,198196,5,True,1,0,False
tests-examples/textbook/17,False,3.44561,5.57571,197144,2,True,1,0,False
tests-examples/textbook/18,False,3.25115,5.46297,197792,1,True,1,0,False
tests-examples/textbook/19,False,3.8686,6.07659,196640,19,False,0,0,False
tests-examples/textbook/2,False,3.41043,5.63984,201124,1,True,1,0,False
tests-examples/textbook/20,False,3.30555,5.54253,197784,2,True,1,0,False
tests-examples/textbook/21,False,3.17733,5.38661,196620,1,True,1,0,False
tests-examples/textbook/22,False,3.97318,6.17777,198184,24,True,1,0,False
tests-examples/textbook/23,False,3.8883,6.0814,201620,1,True,1,0,False
tests-examples/textbook/24,False,3.13082,5.36981,196648,1,True,1,0,False
tests-examples/textbook/25,False,5.61048,7.8293,226400,1,True,1,0,False
tests-examples/textbook/26,False,5.11858,6.89251,218928,2,True,1,0,False
tests-examples/textbook/28,False,3.102,5.33766,197048,1,True,1,2,False
tests-examples/textbook/29,False,6.09481,8.32024,274684,4,True,1,0,False
tests-examples/textbook/3,False,3.21682,5.43185,197660,2,False,0,2,False
tests-examples/textbook/31,False,3.38438,5.62419,198024,5,True,1,2,False
tests-examples/textbook/34,False,3.21045,5.41701,198804,1,True,1,0,False
tests-examples/textbook/35,False,3.41683,5.57396,197376,6,True,1,0,False
tests-examples/textbook/4,False,3.19506,5.44257,197872,1,True,1,0,False
tests-examples/textbook/5,False,3.17129,5.42134,197524,1,True,1,0,False
tests-examples/textbook/6,False,3.24898,5.46818,197516,1,True,1,0,False
tests-examples/textbook/7,False,3.0359,5.2571,194964,1,True,1,0,False
tests-examples/textbook/8,False,3.08629,5.33014,195364,1,True,1,0,False
tests-examples/textbook/9,False,3.23452,5.47643,198420,3,False,0,0,False
tests-examples/scythe/top_rated_posts/001,False,2.95194,5.20106,196312,1,True,1,0,False
