name,timeout,real,cpu,ram,programs,ground_truth,gt_status,status,memout
tests-examples/textbook/1,False,7.96908,7.42575,200856,2,True,1,0,False
tests-examples/textbook/10,False,3.40402,5.65005,198424,2,True,1,0,False
tests-examples/textbook/11,False,3.01397,5.23986,195832,3,True,1,0,False
tests-examples/textbook/13,False,3.04603,5.29292,194896,1,True,1,0,False
tests-examples/textbook/14,False,3.83838,6.07498,198392,2,False,0,0,False
tests-examples/textbook/15,False,4.12563,6.3497,197224,29,True,1,0,False
tests-examples/textbook/16,False,4.51303,6.75874,197588,164,False,0,0,False
tests-examples/textbook/17,False,4.08074,6.316,197176,23,True,1,0,False
tests-examples/textbook/18,False,4.72158,6.98033,207032,3,True,1,0,False
tests-examples/textbook/19,False,86.0282,88.1987,240208,4426,False,0,0,False
tests-examples/textbook/2,False,12.1754,12.089,233176,45,False,0,0,False
tests-examples/textbook/20,False,60.8539,62.9818,236236,3566,False,0,0,False
tests-examples/textbook/21,False,7.08533,6.62614,198060,15,True,1,0,False
tests-examples/textbook/22,False,146.283,148.383,274660,5710,False,0,0,False
tests-examples/textbook/23,True,600.029,599.445,399868,,False,0,,False
tests-examples/textbook/24,False,7.37426,6.5947,196264,3,True,1,0,False
tests-examples/textbook/25,True,600.026,602.19,453088,,False,0,,False
tests-examples/textbook/26,False,43.2098,42.6486,338228,896,False,0,0,False
tests-examples/textbook/28,False,5.94479,6.19277,197232,4,True,1,2,False
tests-examples/textbook/29,False,444.836,446.956,775768,4789,False,0,0,False
tests-examples/textbook/3,False,7.75665,7.15903,196024,67,True,1,0,False
tests-examples/textbook/31,False,5.59784,7.82357,198856,201,False,0,2,False
tests-examples/textbook/34,False,6.11569,8.33727,212276,55,False,0,0,False
tests-examples/textbook/35,False,4.46931,6.67199,197248,121,False,0,0,False
tests-examples/textbook/4,False,3.82446,6.03279,197636,11,True,1,0,False
tests-examples/textbook/5,False,9.08551,11.3098,196924,711,False,0,0,False
tests-examples/textbook/6,False,3.90639,6.13581,197324,48,False,0,0,False
tests-examples/textbook/7,False,3.02999,5.2711,196076,2,True,1,0,False
tests-examples/textbook/8,False,3.47112,5.70758,197552,36,True,1,0,False
tests-examples/textbook/9,False,6.47485,8.71376,198060,339,False,0,0,False
tests-examples/scythe/top_rated_posts/001,False,3.17639,5.41728,196564,16,True,1,0,False
tests-examples/scythe/top_rated_posts/002,False,3.49694,5.74201,196188,23,False,0,0,False
tests-examples/scythe/top_rated_posts/003,False,3.38014,5.47781,195728,2,True,1,0,False
tests-examples/scythe/top_rated_posts/004,False,4.57486,6.55824,204624,6,True,1,0,False
tests-examples/scythe/top_rated_posts/005,False,270.378,272.437,2536476,42,True,1,0,False
tests-examples/scythe/top_rated_posts/006,False,9.59209,8.97391,206176,90,False,0,0,False
tests-examples/scythe/top_rated_posts/007,False,7.76482,9.99537,205764,281,False,0,0,False
tests-examples/scythe/top_rated_posts/008,False,3.24376,5.48113,198072,4,False,0,2,False
tests-examples/scythe/top_rated_posts/009,False,4.91171,7.13221,207656,26,True,1,0,False
tests-examples/scythe/top_rated_posts/010,False,3.11283,5.35346,195788,5,True,1,0,False
tests-examples/scythe/top_rated_posts/011,False,3.78941,6.02607,197652,53,True,1,0,False
tests-examples/scythe/top_rated_posts/012,False,6.46911,8.70439,206048,131,True,1,0,False
tests-examples/scythe/top_rated_posts/013,False,4.63671,6.88537,197496,90,False,0,0,False
tests-examples/scythe/top_rated_posts/014,False,3.15983,5.38919,195156,16,True,1,0,False
tests-examples/scythe/top_rated_posts/016,False,3.2151,5.47212,197240,21,True,1,0,False
tests-examples/scythe/top_rated_posts/017,False,6.04463,8.25429,211568,45,False,0,0,False
tests-examples/scythe/top_rated_posts/019,False,3.29535,5.48811,197112,6,True,1,0,False
tests-examples/scythe/top_rated_posts/021,False,3.94556,6.07999,199732,6,True,1,0,False
tests-examples/scythe/top_rated_posts/023,False,3.63957,5.39348,195688,1,True,1,0,False
tests-examples/scythe/top_rated_posts/025,False,3.56492,5.76686,195972,6,True,1,0,False
tests-examples/scythe/top_rated_posts/027,False,82.2166,84.3354,234292,210,False,0,0,False
tests-examples/scythe/top_rated_posts/028,False,6.55442,6.33461,196448,17,True,1,0,False
tests-examples/scythe/top_rated_posts/029,False,3.11328,5.35388,195708,4,True,1,0,False
tests-examples/scythe/top_rated_posts/031,False,3.08832,5.3204,196696,3,True,1,0,False
tests-examples/scythe/top_rated_posts/032,False,3.44808,5.71145,196636,30,False,0,0,False
tests-examples/scythe/top_rated_posts/034,False,4.66943,6.88149,206752,6,False,0,0,False
tests-examples/scythe/top_rated_posts/036,False,4.87732,7.09094,205728,16,False,0,0,False
tests-examples/scythe/top_rated_posts/037,False,4.25826,6.46084,204204,11,True,1,0,False
tests-examples/scythe/top_rated_posts/038,False,4.36549,6.60576,195552,87,True,1,0,False
tests-examples/scythe/top_rated_posts/043,False,3.36139,5.54658,197304,17,False,0,0,False
tests-examples/scythe/top_rated_posts/044,False,3.16895,5.4051,198824,1,True,1,0,False
tests-examples/scythe/top_rated_posts/047,False,4.27783,6.5172,205980,8,True,1,0,False
tests-examples/scythe/top_rated_posts/048,False,4.39851,6.62225,204140,5,True,1,0,False
tests-examples/scythe/top_rated_posts/049,False,3.4333,5.63344,198196,16,True,1,0,False
tests-examples/scythe/top_rated_posts/050,False,10.7942,12.9954,309584,6,True,1,0,False
tests-examples/scythe/top_rated_posts/051,False,5.52364,7.22252,205360,12,True,1,0,False
tests-examples/scythe/top_rated_posts/054,False,3.53759,5.72471,200380,1,True,1,0,False
tests-examples/scythe/top_rated_posts/055,False,3.48246,5.71229,197228,33,True,1,0,False
tests-examples/scythe/top_rated_posts/057,False,4.76142,6.99494,205808,14,True,1,0,False
