name,timeout,real,cpu,ram,programs,ground_truth,gt_status,status,memout
tests-examples/textbook/10,False,7.43815,7.15753,198480,10,True,1,0,False
tests-examples/textbook/14,False,3.84501,5.8848,196692,14,True,1,0,False
tests-examples/textbook/15,False,3.47735,5.69181,196896,7,True,1,0,False
tests-examples/textbook/17,False,3.40611,5.60638,198288,2,True,1,0,False
tests-examples/textbook/18,False,4.20266,6.42822,205384,5,True,1,0,False
tests-examples/textbook/2,False,5.51364,7.73625,218404,1,False,0,0,False
tests-examples/textbook/22,False,3.61665,5.82644,197684,1,True,1,0,False
tests-examples/textbook/23,False,5.73765,7.96606,210796,17,False,0,0,False
tests-examples/textbook/25,False,30.27,32.4392,332376,255,True,1,0,False
tests-examples/textbook/26,False,11.7517,13.8851,280956,1,True,1,0,False
tests-examples/textbook/29,False,32.0473,34.1679,505592,1,True,1,0,False
tests-examples/textbook/3,False,4.64805,6.04084,199740,4,True,1,0,False
tests-examples/textbook/4,False,3.52472,5.75557,196608,14,True,1,0,False
tests-examples/textbook/5,False,3.24776,5.47519,197332,1,True,1,0,False
tests-examples/textbook/6,False,3.36714,5.60173,197408,3,False,0,0,False
tests-examples/textbook/7,False,3.08993,5.30549,195228,2,True,1,0,False
tests-examples/textbook/8,False,3.51464,5.75449,198572,3,True,1,0,False
tests-examples/textbook/9,False,3.55479,5.773,198944,10,True,1,0,False
tests-examples/scythe/top_rated_posts/001,False,3.10656,5.32656,196380,2,True,1,0,False
tests-examples/scythe/top_rated_posts/002,False,3.09206,5.31176,197116,1,False,0,0,False
tests-examples/scythe/top_rated_posts/004,False,4.18684,6.42452,204592,13,True,1,0,False
tests-examples/scythe/top_rated_posts/005,False,428.681,430.713,2874612,343,False,0,0,False
tests-examples/scythe/top_rated_posts/006,False,7.93377,7.23231,204584,4,True,1,0,False
tests-examples/scythe/top_rated_posts/007,False,4.46403,6.54568,208948,3,False,0,0,False
tests-examples/scythe/top_rated_posts/008,False,3.38129,5.45416,200360,2,False,0,2,False
tests-examples/scythe/top_rated_posts/009,False,4.03577,6.228,204884,2,True,1,0,False
tests-examples/scythe/top_rated_posts/011,False,3.70461,5.81336,197380,20,True,1,0,False
tests-examples/scythe/top_rated_posts/012,False,4.27018,6.47042,206388,3,True,1,0,False
tests-examples/scythe/top_rated_posts/013,False,3.12302,5.31683,197496,2,True,1,0,False
tests-examples/scythe/top_rated_posts/014,False,3.32115,5.49158,195872,20,True,1,0,False
tests-examples/scythe/top_rated_posts/016,False,3.37941,5.57916,195912,28,True,1,0,False
tests-examples/scythe/top_rated_posts/017,False,4.66612,6.57706,207420,10,True,1,2,False
tests-examples/scythe/top_rated_posts/019,False,3.16519,5.2638,197428,2,True,1,0,False
tests-examples/scythe/top_rated_posts/021,False,3.93649,6.1446,205444,2,True,1,0,False
tests-examples/scythe/top_rated_posts/027,False,3.97589,6.16237,205736,2,True,1,0,False
tests-examples/scythe/top_rated_posts/028,False,3.58339,5.57105,196816,25,True,1,0,False
tests-examples/scythe/top_rated_posts/029,False,3.26561,5.42781,195896,14,True,1,0,False
tests-examples/scythe/top_rated_posts/034,False,4.46303,6.39854,205836,3,True,1,0,False
tests-examples/scythe/top_rated_posts/036,False,4.59713,6.53697,205348,2,True,1,0,False
tests-examples/scythe/top_rated_posts/037,False,4.10408,6.29412,204888,7,True,1,0,False
tests-examples/scythe/top_rated_posts/038,False,3.2939,5.47079,196976,5,True,1,0,False
tests-examples/scythe/top_rated_posts/043,False,3.52362,5.62695,198304,2,True,1,0,False
tests-examples/scythe/top_rated_posts/047,False,4.23591,6.42816,204548,9,True,1,0,False
tests-examples/scythe/top_rated_posts/048,False,4.24199,6.36164,204296,13,True,1,0,False
tests-examples/scythe/top_rated_posts/049,False,3.08205,5.28102,196396,2,True,1,0,False
tests-examples/scythe/top_rated_posts/051,False,4.08833,6.2981,205864,2,True,1,0,False
tests-examples/scythe/top_rated_posts/055,False,3.34053,5.55996,197200,21,True,1,0,False
tests-examples/scythe/top_rated_posts/057,False,4.18313,6.33431,205500,5,True,1,0,False
tests-examples/scythe/recent_posts/004,False,31.1686,33.1582,474092,3,True,1,2,False
tests-examples/scythe/recent_posts/007,False,429.609,430.95,2863056,453,False,0,0,False
tests-examples/scythe/recent_posts/009,False,7.12823,6.47966,196288,16,True,1,0,False
tests-examples/scythe/recent_posts/011,False,3.44509,5.8272,195944,29,True,1,0,False
tests-examples/scythe/recent_posts/012,True,600.028,602.105,403528,,False,0,,False
tests-examples/scythe/recent_posts/016,False,11.4171,10.7814,225672,10,False,0,0,False
tests-examples/scythe/recent_posts/021,False,4.83738,7.06238,208264,5,True,1,0,False
tests-examples/scythe/recent_posts/028,False,4.74511,6.97988,209784,1,True,1,0,False
tests-examples/scythe/recent_posts/032,False,4.19766,6.41966,204480,10,True,1,0,False
tests-examples/scythe/recent_posts/040,False,3.3127,5.5306,197524,3,False,0,0,False
tests-examples/scythe/recent_posts/045,False,4.07314,6.27975,206372,4,True,1,0,False
tests-examples/scythe/recent_posts/051,False,3.56806,5.73596,197092,27,True,1,0,False
tests-examples/spider/architecture/0003,False,5.96556,8.17066,209652,58,False,0,0,False
tests-examples/spider/architecture/0009,False,3.55265,5.77825,198608,1,True,1,0,False
tests-examples/spider/architecture/0011,True,600.027,601.604,427564,,False,0,,False
