name,timeout,real,cpu,ram,programs,ground_truth,gt_status,status,memout
tests-examples/textbook/1,False,7.95199,7.18393,199652,6,True,1,0,False
tests-examples/textbook/10,False,3.52516,5.91492,198636,3,True,1,0,False
tests-examples/textbook/11,False,3.23718,5.47677,194724,3,False,0,0,False
tests-examples/textbook/13,False,3.21218,5.46267,196212,1,True,1,0,False
tests-examples/textbook/14,False,3.67986,5.8939,198304,3,False,0,0,False
tests-examples/textbook/15,False,3.92943,6.12655,197552,25,True,1,0,False
tests-examples/textbook/16,False,3.69704,5.95055,197800,26,False,0,0,False
tests-examples/textbook/17,False,4.20061,6.44683,197620,49,True,1,0,False
tests-examples/textbook/18,False,4.42493,6.64683,206940,10,True,1,0,False
tests-examples/textbook/19,False,128.256,130.366,253680,5848,False,0,0,False
tests-examples/textbook/2,False,14.7515,14.1916,232496,224,False,0,0,False
tests-examples/textbook/20,False,197.282,199.374,269452,8148,False,0,0,False
tests-examples/textbook/21,False,7.27551,6.6518,197048,10,True,1,0,False
tests-examples/textbook/22,True,600.034,602.173,353456,,False,0,,False
tests-examples/textbook/23,True,600.029,599.354,396000,,False,0,,False
tests-examples/textbook/24,False,7.20314,6.58416,197656,3,False,0,0,False
tests-examples/textbook/25,True,600.031,602.105,445152,,False,0,,False
tests-examples/textbook/26,False,58.595,57.9098,346160,1225,False,0,0,False
tests-examples/textbook/28,False,5.56519,6.07809,197976,3,True,1,2,False
tests-examples/textbook/29,False,579.892,581.439,775492,7276,False,0,0,False
tests-examples/textbook/3,False,7.63803,6.97873,197544,36,True,1,0,False
tests-examples/textbook/31,False,7.41924,9.63702,197944,483,False,0,2,False
tests-examples/textbook/34,False,4.94135,7.13014,209084,10,False,0,0,False
tests-examples/textbook/35,False,3.81031,6.08564,200732,32,False,0,0,False
tests-examples/textbook/4,False,4.39811,6.62607,199340,102,False,0,0,False
tests-examples/textbook/5,False,4.42988,6.65204,198028,103,True,1,0,False
tests-examples/textbook/6,False,4.06682,6.31038,197428,52,True,1,0,False
tests-examples/textbook/7,False,3.29886,5.50644,195968,2,True,1,0,False
tests-examples/textbook/8,False,3.52325,5.76018,197364,20,True,1,0,False
tests-examples/textbook/9,False,11.0866,13.3348,198184,807,True,1,0,False
tests-examples/scythe/top_rated_posts/001,False,3.34868,5.59258,196336,13,True,1,0,False
tests-examples/scythe/top_rated_posts/002,False,3.25056,5.47808,194748,2,False,0,0,False
tests-examples/scythe/top_rated_posts/003,False,3.74107,5.56716,196280,4,True,1,0,False
tests-examples/scythe/top_rated_posts/004,False,4.26009,6.40576,203364,11,True,1,0,False
tests-examples/scythe/top_rated_posts/005,False,351.992,354.052,2512392,711,False,0,0,False
tests-examples/scythe/top_rated_posts/006,False,8.46232,7.82036,204752,61,False,0,0,False
tests-examples/scythe/top_rated_posts/007,False,7.71098,9.92887,205076,345,False,0,0,False
tests-examples/scythe/top_rated_posts/008,False,3.50714,5.69999,197160,6,False,0,2,False
tests-examples/scythe/top_rated_posts/009,False,4.19938,6.35494,203648,6,False,0,0,False
tests-examples/scythe/top_rated_posts/010,False,3.35613,5.60342,195392,6,True,1,0,False
tests-examples/scythe/top_rated_posts/011,False,3.98308,6.24239,199204,41,True,1,0,False
tests-examples/scythe/top_rated_posts/012,False,5.45003,7.67228,203760,92,True,1,0,False
tests-examples/scythe/top_rated_posts/013,False,3.59692,5.86146,199348,8,False,0,0,False
tests-examples/scythe/top_rated_posts/014,False,3.23619,5.4969,195776,5,True,1,0,False
tests-examples/scythe/top_rated_posts/016,False,3.4864,5.71688,196276,25,True,1,0,False
tests-examples/scythe/top_rated_posts/017,False,8.13313,10.406,211528,291,False,0,2,False
tests-examples/scythe/top_rated_posts/019,False,3.68738,5.92464,197184,19,True,1,0,False
tests-examples/scythe/top_rated_posts/021,False,3.72786,5.9406,199812,10,True,1,0,False
tests-examples/scythe/top_rated_posts/023,False,3.94153,5.62313,194704,1,True,1,0,False
tests-examples/scythe/top_rated_posts/025,False,3.73099,5.96423,197336,31,True,1,0,False
tests-examples/scythe/top_rated_posts/027,False,35.1662,37.3094,232992,57,False,0,0,False
tests-examples/scythe/top_rated_posts/028,False,5.90705,6.17555,195512,14,True,1,0,False
tests-examples/scythe/top_rated_posts/029,False,3.25804,5.44633,195608,4,True,1,0,False
tests-examples/scythe/top_rated_posts/031,False,3.29338,5.50741,196316,2,True,1,0,False
tests-examples/scythe/top_rated_posts/032,False,4.38973,6.5851,196852,80,False,0,0,False
tests-examples/scythe/top_rated_posts/034,False,5.09494,6.80586,203820,17,False,0,0,False
tests-examples/scythe/top_rated_posts/036,False,4.8698,7.06595,205024,58,False,0,0,False
tests-examples/scythe/top_rated_posts/037,False,3.82981,6.06657,202648,3,True,1,0,False
tests-examples/scythe/top_rated_posts/038,False,3.70424,6.10165,196408,22,False,0,0,False
tests-examples/scythe/top_rated_posts/043,False,5.50046,7.73045,196508,219,False,0,0,False
tests-examples/scythe/top_rated_posts/044,False,3.47046,5.71521,198560,1,True,1,0,False
tests-examples/scythe/top_rated_posts/047,False,4.01972,6.26417,204204,9,True,1,0,False
tests-examples/scythe/top_rated_posts/048,False,4.0092,6.21579,202132,4,True,1,0,False
