name,timeout,real,cpu,ram,programs,ground_truth,gt_status,status,memout
tests-examples/textbook/1,False,3.96437,6.17084,200120,3,True,1,0,False
tests-examples/textbook/10,False,3.79726,6.00112,196964,20,True,1,0,False
tests-examples/textbook/11,False,3.10696,5.42296,194676,3,True,1,0,False
tests-examples/textbook/13,False,3.27371,5.47841,196228,1,True,1,0,False
tests-examples/textbook/14,False,3.49101,5.70669,198560,16,False,0,0,False
tests-examples/textbook/15,False,3.65854,5.90865,198320,30,True,1,0,False
tests-examples/textbook/16,False,3.84274,6.05365,198376,83,False,0,0,False
tests-examples/textbook/17,False,3.68458,5.97824,197280,35,True,1,0,False
tests-examples/textbook/18,False,4.0718,6.30466,207356,6,True,1,0,False
tests-examples/textbook/19,False,42.361,44.4479,227600,2590,False,0,0,False
tests-examples/textbook/2,False,14.9667,14.5421,232248,238,False,0,0,False
tests-examples/textbook/20,True,600.025,602.232,336892,,False,0,,False
tests-examples/textbook/21,False,7.21649,6.45684,196164,2,True,1,0,False
tests-examples/textbook/22,False,26.1492,28.381,229424,1511,False,0,0,False
tests-examples/textbook/23,True,600.026,602.175,401248,,False,0,,False
tests-examples/textbook/24,False,7.59787,6.4998,196212,1,False,0,0,False
tests-examples/textbook/25,True,600.026,602.194,448580,,False,0,,False
tests-examples/textbook/26,False,44.0279,42.867,339120,833,False,0,0,False
tests-examples/textbook/28,False,3.35962,5.46895,196660,2,True,1,2,False
tests-examples/textbook/29,False,66.0755,68.201,759820,249,False,0,0,False
tests-examples/textbook/3,False,7.22802,6.66266,198396,25,True,1,0,False
tests-examples/textbook/31,False,6.92738,9.12884,198400,412,False,0,2,False
tests-examples/textbook/34,False,5.02368,7.20656,209976,13,False,0,0,False
tests-examples/textbook/35,False,4.79358,7.00367,198320,251,False,0,0,False
tests-examples/textbook/4,False,3.72163,5.95666,197456,44,True,1,0,False
tests-examples/textbook/5,False,4.00749,6.23475,196664,71,False,0,0,False
tests-examples/textbook/6,False,3.88513,6.10261,196968,59,False,0,0,False
tests-examples/textbook/7,False,3.01093,5.25708,196760,5,True,1,0,False
tests-examples/textbook/8,False,3.24401,5.50087,197212,18,True,1,0,False
