name,timeout,real,cpu,ram,programs,ground_truth,gt_status,status,memout
tests-examples/textbook/1,False,6.61945,6.31188,198028,4,True,1,0,False
tests-examples/textbook/10,False,3.72127,5.89259,196152,13,True,1,0,False
tests-examples/textbook/11,False,3.25485,5.46355,195900,3,False,0,0,False
tests-examples/textbook/13,False,3.33734,5.51761,194780,1,True,1,0,False
tests-examples/textbook/14,False,3.50009,5.72481,196604,9,True,1,0,False
tests-examples/textbook/15,False,3.64417,5.87708,197428,22,True,1,0,False
tests-examples/textbook/16,False,4.20983,6.37337,197020,112,False,0,0,False
tests-examples/textbook/17,False,4.04843,6.24437,196984,34,True,1,0,False
tests-examples/textbook/18,False,3.53954,5.76502,198760,4,True,1,0,False
tests-examples/textbook/19,False,110.502,112.663,245648,5696,False,0,0,False
tests-examples/textbook/2,False,10.122,9.48952,200488,114,False,0,0,False
tests-examples/textbook/20,True,600.032,602.238,318140,,False,0,,False
tests-examples/textbook/21,False,7.10812,6.66244,195936,6,True,1,0,False
tests-examples/textbook/22,True,600.034,602.238,342128,,False,0,,False
tests-examples/textbook/23,True,600.031,599.252,361204,,False,0,,False
tests-examples/textbook/24,False,7.22371,6.52384,195144,2,True,1,0,False
tests-examples/textbook/25,True,600.035,602.185,359448,,False,0,,False
tests-examples/textbook/26,False,441.89,441.31,245132,1870,False,0,0,False
tests-examples/textbook/28,False,7.13106,6.49003,197420,3,True,1,2,False
tests-examples/textbook/29,True,600.036,602.256,323964,,False,0,,False
tests-examples/textbook/3,False,7.67578,6.90639,197212,20,True,1,0,False
tests-examples/textbook/31,False,3.47567,5.70944,198436,14,False,0,2,False
tests-examples/textbook/34,False,105.012,107.151,202636,74,False,0,0,False
tests-examples/textbook/35,False,12.0114,11.7405,195976,673,False,0,0,False
tests-examples/textbook/4,False,4.1374,6.34927,197696,67,True,1,0,False
tests-examples/textbook/5,False,7.75684,9.99594,197448,488,True,1,0,False
tests-examples/textbook/6,False,4.10323,6.34723,198280,64,False,0,0,False
tests-examples/textbook/7,False,3.21646,5.45177,195440,3,True,1,0,False
tests-examples/textbook/8,False,3.54316,5.78527,196684,27,True,1,0,False
tests-examples/textbook/9,False,24.7979,26.9891,202768,2204,False,0,0,False
tests-examples/scythe/top_rated_posts/001,False,3.36598,5.51512,196564,9,True,1,0,False
tests-examples/scythe/top_rated_posts/002,False,3.7426,5.63903,196240,1,False,0,0,False
tests-examples/scythe/top_rated_posts/003,False,3.10631,5.34814,196460,1,True,1,0,False
