name,timeout,real,cpu,ram,programs,ground_truth,gt_status,status,memout
tests-examples/textbook/1,False,9.20049,8.31357,204856,3,True,2,0,False
tests-examples/textbook/10,False,4.44806,6.67029,197740,4,False,0,0,False
tests-examples/textbook/11,False,3.40019,5.63267,195728,10,False,0,0,False
tests-examples/textbook/13,False,3.32155,5.54968,196332,1,False,0,0,False
tests-examples/textbook/14,False,4.69867,6.92348,199024,4,False,0,0,False
tests-examples/textbook/15,False,5.6159,7.8785,199336,35,True,2,0,False
tests-examples/textbook/16,False,21.9103,24.2376,226308,1105,False,0,0,False
tests-examples/textbook/17,True,600.029,602.204,272076,,False,0,,False
tests-examples/textbook/18,False,13.1764,12.5136,218032,35,True,1,0,False
tests-examples/textbook/19,False,470.133,472.156,315828,10526,False,0,0,False
tests-examples/textbook/2,False,20.442,19.4709,311324,3,True,2,0,False
tests-examples/textbook/20,True,600.031,602.156,328316,,False,0,,False
tests-examples/textbook/21,False,8.30379,7.43223,197916,16,True,1,0,False
tests-examples/textbook/22,True,600.031,602.164,350892,,False,0,,False
tests-examples/textbook/23,True,600.031,599.421,325320,,False,0,,False
tests-examples/textbook/24,False,8.09035,7.07207,198436,2,True,2,0,False
tests-examples/textbook/25,True,600.032,602.107,820544,,False,0,,False
tests-examples/textbook/26,True,600.027,598.865,753152,,False,0,,False
tests-examples/textbook/28,False,7.32896,6.9507,199784,1,False,0,2,False
tests-examples/textbook/29,True,600.06,602.207,1869948,,False,0,,False
tests-examples/textbook/3,False,10.6039,9.96136,197920,162,False,0,0,False
tests-examples/textbook/31,False,5.69529,7.94602,196596,43,False,0,2,False
tests-examples/textbook/34,False,90.2703,92.3868,259304,756,False,0,0,False
tests-examples/textbook/35,True,600.034,599.824,345160,,False,0,,False
tests-examples/textbook/4,False,8.11212,7.52688,199436,9,False,0,0,False
tests-examples/textbook/5,False,5.19256,7.41965,197048,44,False,0,0,False
tests-examples/textbook/6,False,8.56013,10.793,199280,147,False,0,0,False
tests-examples/textbook/7,False,3.32928,5.59288,196556,7,True,2,0,False
tests-examples/textbook/8,False,3.46441,5.71396,198496,6,False,0,0,False
tests-examples/textbook/9,False,460.451,462.508,328740,10507,False,0,0,False
